block_number,block_timestamp_utc,transaction_index,transaction_hash,method,call_scope,tx_from_address,tx_to_address,transfer_log_count,classification,burn_log_count,burn_raw_value,nonburn_raw_value
8943990,2019-11-16 10:52:59 UTC,41,0x4dc007672af502c2ea254350cde6a041f4e741391841e09c00f891a62957cf14,"transfer(address,uint256)",direct_contract_call,0x23d3808feaeb966f9c6c5ef326e1dd37686e5972,0xcf8335727b776d190f9d15a54e6b9b9348439eee,2,mixed_transfer_and_burn_candidate,1,1197215619000000000000,10774940571000000000000
8943991,2019-11-16 10:53:10 UTC,207,0x2916b46d7c20331be9972598ea72b5e92e92ab7ad92bbb219bc6ee0ef8f3ff40,"transfer(address,uint256)",direct_contract_call,0x23d3808feaeb966f9c6c5ef326e1dd37686e5972,0xcf8335727b776d190f9d15a54e6b9b9348439eee,2,mixed_transfer_and_burn_candidate,1,1197215619000000000000,10774940571000000000000
8943991,2019-11-16 10:53:10 UTC,208,0x6fe5c06c9ee3da98a6963436d4e7b7ee17a2f141d21eb2f22d1f2ef9f3aa1190,"transfer(address,uint256)",direct_contract_call,0x23d3808feaeb966f9c6c5ef326e1dd37686e5972,0xcf8335727b776d190f9d15a54e6b9b9348439eee,2,mixed_transfer_and_burn_candidate,1,1197215619000000000000,10774940571000000000000
8943991,2019-11-16 10:53:10 UTC,209,0xd80884996e2b89549b6efee0a24aae4026372ed95a416cd9a39596257cf11f6d,"transfer(address,uint256)",direct_contract_call,0x23d3808feaeb966f9c6c5ef326e1dd37686e5972,0xcf8335727b776d190f9d15a54e6b9b9348439eee,2,mixed_transfer_and_burn_candidate,1,1197215619000000000000,10774940571000000000000
8943991,2019-11-16 10:53:10 UTC,210,0x80fe8191acd99dfbb0ca9b5560b42190b86d850f2d88b45907620c8c84fa30e6,"transfer(address,uint256)",direct_contract_call,0x23d3808feaeb966f9c6c5ef326e1dd37686e5972,0xcf8335727b776d190f9d15a54e6b9b9348439eee,2,mixed_transfer_and_burn_candidate,1,1197215619000000000000,10774940571000000000000
8943992,2019-11-16 10:53:36 UTC,79,0x8646313ee9ae18322dbd447253fbe2d72f94567e98b607a554972b1b9b824dc0,"transfer(address,uint256)",direct_contract_call,0x23d3808feaeb966f9c6c5ef326e1dd37686e5972,0xcf8335727b776d190f9d15a54e6b9b9348439eee,2,mixed_transfer_and_burn_candidate,1,1197215619000000000000,10774940571000000000000
8943992,2019-11-16 10:53:36 UTC,80,0x4b6ded45e2bb094ee70216dc71d142c107f46eb4bbd3fb300550cfbf2e7e495f,"transfer(address,uint256)",direct_contract_call,0x23d3808feaeb966f9c6c5ef326e1dd37686e5972,0xcf8335727b776d190f9d15a54e6b9b9348439eee,2,mixed_transfer_and_burn_candidate,1,1197215619000000000000,10774940571000000000000
8943993,2019-11-16 10:53:46 UTC,15,0x43bc586b8cf3cbebc4bd26466681832eea5990c5a90ef880e0e80d92eae20422,"transfer(address,uint256)",direct_contract_call,0x23d3808feaeb966f9c6c5ef326e1dd37686e5972,0xcf8335727b776d190f9d15a54e6b9b9348439eee,2,mixed_transfer_and_burn_candidate,1,1197215619000000000000,10774940571000000000000
8943993,2019-11-16 10:53:46 UTC,16,0x78ec0f0d19c218a5b94a7d72561f0cc40733db923d8ed75b3ef644a36e9f965f,"transfer(address,uint256)",direct_contract_call,0x23d3808feaeb966f9c6c5ef326e1dd37686e5972,0xcf8335727b776d190f9d15a54e6b9b9348439eee,2,mixed_transfer_and_burn_candidate,1,1197215619000000000000,10774940571000000000000
8943993,2019-11-16 10:53:46 UTC,17,0x283989d049baa97418a54501dae41f15c60c50a639ff811e2eb8f4096009230a,"transfer(address,uint256)",direct_contract_call,0x23d3808feaeb966f9c6c5ef326e1dd37686e5972,0xcf8335727b776d190f9d15a54e6b9b9348439eee,2,mixed_transfer_and_burn_candidate,1,1197215619000000000000,10774940571000000000000
8943994,2019-11-16 10:53:51 UTC,50,0x42581a3cdab00fad5444af8860bd0c1da10a92975026596d659225e51218def7,"transfer(address,uint256)",direct_contract_call,0x23d3808feaeb966f9c6c5ef326e1dd37686e5972,0xcf8335727b776d190f9d15a54e6b9b9348439eee,2,mixed_transfer_and_burn_candidate,1,1197215619000000000000,10774940571000000000000
8943994,2019-11-16 10:53:51 UTC,51,0xe3dbda9fd347d8a8c470b2345e3ed2cafa01e944b9ee25a5285c68d5e4c4615b,"transfer(address,uint256)",direct_contract_call,0x23d3808feaeb966f9c6c5ef326e1dd37686e5972,0xcf8335727b776d190f9d15a54e6b9b9348439eee,2,mixed_transfer_and_burn_candidate,1,1197215619000000000000,10774940571000000000000
8943994,2019-11-16 10:53:51 UTC,52,0xcdb57c08cd89c8fc733da92a3517cdbed6ec11665862fbdc51aa935a30f0c090,"transfer(address,uint256)",direct_contract_call,0x23d3808feaeb966f9c6c5ef326e1dd37686e5972,0xcf8335727b776d190f9d15a54e6b9b9348439eee,2,mixed_transfer_and_burn_candidate,1,1197215619000000000000,10774940571000000000000
8943995,2019-11-16 10:53:53 UTC,15,0xd530e6da525673caaceec0905e4c991cd6183f4fb2fde5eddf4d42f8f653a036,"transfer(address,uint256)",direct_contract_call,0x23d3808feaeb966f9c6c5ef326e1dd37686e5972,0xcf8335727b776d190f9d15a54e6b9b9348439eee,2,mixed_transfer_and_burn_candidate,1,1197215619000000000000,10774940571000000000000
8943996,2019-11-16 10:54:19 UTC,142,0x966a95d8521a59326a67e9a115c538667cd13fda4bc140206f63a6ec6de1ef1c,"transfer(address,uint256)",direct_contract_call,0x23d3808feaeb966f9c6c5ef326e1dd37686e5972,0xcf8335727b776d190f9d15a54e6b9b9348439eee,2,mixed_transfer_and_burn_candidate,1,1197215619000000000000,10774940571000000000000
8943996,2019-11-16 10:54:19 UTC,143,0x3367e4b4fb13bcb9b7f1f1b9ccb41f2ec1ab7f114ed2b873bc186c60d6363ee5,"transfer(address,uint256)",direct_contract_call,0x23d3808feaeb966f9c6c5ef326e1dd37686e5972,0xcf8335727b776d190f9d15a54e6b9b9348439eee,2,mixed_transfer_and_burn_candidate,1,1197215619000000000000,10774940571000000000000
8943999,2019-11-16 10:54:36 UTC,57,0xfc4b0a544b174530a44ce0a68f2fefaf3d84fa520fd32b0653181ae68ae6eb4e,"transfer(address,uint256)",direct_contract_call,0x23d3808feaeb966f9c6c5ef326e1dd37686e5972,0xcf8335727b776d190f9d15a54e6b9b9348439eee,2,mixed_transfer_and_burn_candidate,1,1197215619000000000000,10774940571000000000000
8943999,2019-11-16 10:54:36 UTC,58,0x51b97c2e53f60cd66742f1662f61d0b79120bb0f9f4465a0a15eb075c9e86068,"transfer(address,uint256)",direct_contract_call,0x23d3808feaeb966f9c6c5ef326e1dd37686e5972,0xcf8335727b776d190f9d15a54e6b9b9348439eee,2,mixed_transfer_and_burn_candidate,1,1197215619000000000000,10774940571000000000000
